S NO.	COMPANY NAME	COMPANY CATEGORY
1	AARTI DRUGS LIMITED	CATGB
2	ACER INDIA PRIVATE LIMITED	CATGA
3	ADANI GAS LIMITED	CATGB
4	ADNANI EXPORTS LIMITED	CATGB
5	ADANI INFRA (INDIA) LIMITED	CATGC
6	ADOBE SYSTEMS INDIA PRIVATE LIMITED	SCATA
7	AFL PRIVATE LIMITED	CATGB
8	AGILENT TECHNOLOGIES INDIA PVT LTD	CATGA
9	AHLUWALIA CONTRACTS (INDIA) LIMITED	CATGA
10	FRANCE AIR PRIVATE LIMITED	CATGC
11	AJANTA PHARMA LIMITED	CATGA
12	ABS INDIA PRIVATE LIMITED	CATGB
13	ALEMBIC PHARMACEUTICALS LIMITED	CATGA
14	ALLIANCE CAPITAL ASSET MANAGEMENT INDIA PRIVATE LIMITED	CATGB
15	ALLIANCE INVESTMENT CONSULTANTS PRIVATE LIMITED	CATGB
16	BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED	CATGB
17	ALLIED NIPPON LTD.	CATGB
18	ALSTOM TRANSPORT INDIA LIMITED	CATGB
19	AMDOCS DEVELOPMENT CENTRE INDIA LLP	CATGB
20	AMERICAN EXPRESS(INDIA) PRIVATE LIMITED	SCATA
21	SCHNEIDER ELECTRIC IT BUSINESS INDIA PRIVATE LIMITED	SCATA
22	AMWAY INDIA ENTERPRISES PRIVATE LIMITED	CATGB
23	ANALOG DEVICES INDIA PRIVATE LIMITED	SCATA
24	ANDREW YULE AND CO LTD	CATGB
25	APOLLO HOSPITALS ENTERPRISE LIMITED	CATGA
26	ARCHIES LIMITED	CATGC
27	ARTHUR D LITTLE INDIA PRIVATE LIMITED	CATGA
28	ARVIND FASHIONS LIMITED	CATGC
29	ASHOK LEYLAND LIMITED	CATGA
30	ASIAN HOTELS (NORTH) LIMITED	CATGB
31	ASIAN PAINTS LIMITED	SCATA
32	ACG ASSOCIATED CAPSULES PRIVATE LIMITED	CATGB
33	ASSOCIATED CEMENT HOLDINGS PRIVATE LIMITED	CATGD
34	ASTRAZENECA PHARMA INDIA LIMITED	SCATA
35	AT AND T COMMUNICATION SERVICES INDIA PRIVATE LIMITED	SCATA
36	ATLAS COPCO INDIA LIMITED	CATGB
37	ATMA STEELS LIMITED	CATGB
38	AUROBINDO PHARMA LTD	CATGA
39	AUSTRALIAN HIGH COMMISSION	GOVT
40	AUTODESK INDIA PRIVATE LIMITED	CATGA
41	AUTOMETERS ALLIANCE LIMITED	CATGB
42	AUTOMOTIVE AXLES LIMITED	CATGB
43	SANOFI INDIA LIMITED	CATGA
44	AVIVA LIFE INSURANCE COMPANY INDIA LTD	CATGA
45	AVON BEAUTY PRODUCTS INDIA PRIVATE LIMITED	SCATA
46	BAJAJ ALLIANZ FINANCIAL DISTRIBUTORS LIMITED	CATGB
47	BAJAJ FINSERV LIMITED	SCATA
48	Bajaj Auto Limited	SCATA
49	BAJAJ CAPITAL LIMITED	CATGB
50	BAJAJ ELECTRICALS LIMITED	CATGA
51	BALRAMPUR CHINI MILLS LTD	CATGA
52	BANK OF AMERICA N.A.	SCATA
53	BANNARI AMMAN SUGARS LIMITED	CATGB
54	BATA INDIA LTD	CATGA
55	BAUSCH & LOMB INDIA PRIVATE LIMITED	CATGB
56	BAXTER INDIA PRIVATE LIMITED	SCATA
57	BAYER PHARMACEUTICALS PRIVATE LIMITED	SCATA
58	BECHTEL INDIA PRIVATE LIMITED	CATGA
59	BERGER PAINTS INDIA LIMITED	SCATA
60	BHARAT BIJLEE LIMITED	CATGB
61	BHARAT ELECTRONICS LIMITED	CATGA
62	BHARAT FORGE LTD	CATGA
63	BHARAT GEARS LIMITED	CATGC
64	BHARAT PETROLEUM CORPORATION LIMITED	SCATA
65	BHARTI AXA LIFE INSURANCE COMPANY LIMITED	CATGB
66	COMVIVA TECHNOLOGIES LIMITED	CATGB
67	BIDDLE SAWYER LIMITED	CATGB
68	BIMETAL BEARINGS LIMITED	CATGB
69	BINANI INDUSTRIES LIMITED	CATGB
70	BINANI ZINC LIMITED	CATGB
71	ADITYA BIRLA MONEY MART LIMITED	CATGB
72	ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED	CATGB
73	BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED	CATGB
74	BLUE BLENDS (INDIA) LIMITED	CATGB
75	BLUE STAR LIMITED	CATGA
76	BMW INDIA PRIVATE LIMITED	SCATA
77	BOSCH LIMITED	CATGA
78	BOSE CORPORATION INDIA PRIVATE LIMITED	CATGB
79	THE BOSTON CONSULTING GROUP (INDIA) PRIVATE LIMITED	CATGA
80	BRAKES INDIA PRIVATE LIMITED	SCATA
81	BRISTLECONE INDIA  LIMITED	CATGB
82	BRITANNIA INDUSTRIES LTD	SCATA
83	BPL TELECOM PRIVATE LIMITED	CATGC
84	BRITISH HIGH COMMISION	GOVT
85	BURR-BROWN (INDIA) LIMITED.	CATGB
86	CABLE CORPORATION OF INDIA LIMITED	CATGB
87	CABOT INDIA LIMITED	CATGB
88	CADENCE DESIGN SYSTEMS (INDIA) PRIVATE LIMITED	CATGA
89	ZYDUS HEALTHCARE LIMITED	CATGB
90	CADILA LABORATORIES PRIVATE LIMITED	CATGB
91	CADILA PHARMACEUTICALS LIMITED	CATGB
92	CAMPHOR AND ALLIED PRODUCTS LTD	CATGC
93	CAN FIN HOMES LIMITED	CATGB
94	CANADIAN HIGH COMMISION	GOVT
95	CANDICO (I) LIMITED	CATGB
96	CAPRIHANS (INDIA) LIMITED	CATGB
97	CARBORUNDUM UNIVERSAL LIMITED	CATGA
98	CARGILL INDIA PRIVATE LIMITED	CATGB
99	CARRIER AIRCONDITIONING AND REFRIGERATION LIMITED	SCATA
100	CASIL HEALTH PRODUCTS LIMITED	CATGC
101	CATERPILLAR INDIA PRIVATE LIMITED	SCATA
102	CENTURY ENKA LIMITED	CATGA
103	CENTURY TEXTILE AND INDUSTRIES LIMITED	SCATA
