S NO.	COMPANY NAME	COMPANY CATEGORY
1	GAINSIGHT SOFTWARE PRIVATE LIMITED	 CAT C 
2	I VISTA DIGITAL SOLUTIONS PRIVATE LIMITED	 CAT C 
3	MALIK MOTORS PRIVATE LIMITED	 CAT D 
4	kushal landmarks pvt ltd	 CAT D 
5	SPADEWORX SOFTWARE SERVICES PRIVATE LIMITED	 CAT D 
6	PAUL RESORTS AND HOTELS PRIVATE LIMITED	 CAT B 
7	T BHIMJYANI REALTY PRIVATE LIMITED	 CAT C 
8	AWT ENERGY PRIVATE LIMITED	 CAT D 
9	AARAV FRAGRANCES AND FLAVORS PRIVATE LIMITED	 CAT C 
10	CONVERGYS INDIA SERVICES PRIVATE LIMITED	 CAT B 
11	LIGHT CRAFT and SOUND PRIVATE LIMITED	 CAT D 
12	KUNAL IT SERVICES PRIVATE LIMITED	 CAT D 
13	GRESHMA FINVEST PVT LTD	 CAT D 
14	JAYCEE AUTOFAB PRIVATE LIMITED	 CAT D 
15	INOMY MEDIA PRIVATE LIMITED	 CAT D 
16	SAPL INDUSTRIES PVT LTD	 CAT C 
17	North East Transmission company limited	 CAT A 
18	EKIN INDIA PRIVATE LIMITED	 CAT D 
19	OSHO FORGE LIMITED	 CAT C 
20	MOONLIGHT AUTO PRIVATE LIMITED	 CAT C 
21	VOI JEANS RETAIL INDIA PRIVATE LIMITED	 CAT D 
22	IRI MARITIME AND CORPORATE SERVICES PRIVATE LIMITE	 CAT D 
23	SQUARE ONE MEDIA SOLUTIONS PRIVATE LIMITED	 CAT D 
24	LUCKY NUGGET GAMING PRIVATE LIMITED	 CAT D 
25	uniciti solutions pvt ltd	 CAT D 
26	COLOUR COTTEX PRIVATE LIMITED	 CAT B 
27	TEXTRONICS DESIGN  SYSTEMS INDIA PVT	 CAT D 
28	ADIDAS INDIA MARKETING PVT LTD	 CAT B 
29	PRIVI LIFE SCIENCES PRIVATE LIMITED	 CAT C 
30	DC WEB SERVICES PVT LTD	 CAT D 
31	TAURUS CONTRACTORS PRIVATE LIMITED	 CAT D 
32	ULYSESS SYSTEMS INDIA PVT LTD	 CAT D 
33	SUNSHINE STOCK BROKING PRIVATE LIMITED	 CAT D 
34	CADTECH ENGINEERING SOLUTIONS PRIVATE LIMITED	 CAT D 
35	Camex ltd	 CAT C 
36	RASHMI HEATERS PVT LTD	 CAT D 
37	SOUL FRY BAR and  KITCHEN PRIVATE LIMITED	 CAT D 
38	WEBVIRTUE TECHNOLOGY PRIVATE LIMITED	 CAT D 
39	SUN INDCHEMICALS PRIVATE LIMITED	 CAT D 
40	PENVER PRODUCTS PRIVATE LIMITED	 CAT C 
41	OKAYA POWER PRIVATE LTD	 CAT B 
42	ENTERTAINMENT CITY LIMITED	 CAT C 
43	zing ecommerce Pvt ltd	 CAT D 
44	INDUSTRIAL BANK OF KOREA	 CAT B 
45	MAK PLYWOOD INDUSTRIES PRIVATE LIMITED	 CAT D 
46	POWERCRAFT ELECTRONICS PVT LTD	 CAT D 
47	ZENITH LEISURE HOLIDAYS LIMITED	 CAT C 
48	FKL INDIA PVT LTD	 CAT D 
49	KAIRAV CHEMO FARBE INDUSTRIES LIMITED	 CAT C 
50	METAL COMMUNICATIONS PVT LTD	 CAT D 
51	TAFFLES TRADING SERVICES PVT LTD	 CAT C 
52	Shubodh Electricals pvt ltd	 CAT D 
53	SANDISK INDIA DEVICE DESIGN CENTRE PRIVATE LIMITED	 CAT B 
54	PREMIER SUPPLIES AND SERVICES PVT LTD	 CAT D 
55	TESCO BENGALURU PRIVATE LIMITED	 CAT B 
56	MAHALUXMI BUILDTECH LTD	 CAT D 
57	CREDO BRANDS MARKETING PVT LTD	 CAT A 
58	SIMONS SHIPPING PVT LTD	 CAT D 
59	AEGIS CARE ADVISORS PVT LTD	 CAT D 
60	PORTFOLIO FINANCIAL SERVICES LTD	 CAT D 
61	DCW LIMITED	 CAT B 
62	TRANSTREASURE SERVICES INDIA PRIVATE LIMITED	 CAT D 
63	SPALON INDIA PRIVATE LIMITED	 CAT C 
64	KEYSTONE SYSTECH PRIVATE LIMITED	 CAT D 
65	THEA KITCHEN PRIVATE LIMITED	 CAT C 
66	DEEPAKNEXGEN FEEDS PRIVATE LIMITED	 CAT C 
67	GLAXOSMITHKLINE CONSUMER PVT LTD	 CAT B 
68	IB AUTOMATION ENGINEERING PROJECTS PRIVATE LIMITED	 CAT D 
69	Federal Mogul Anand Sealings India Ltd	 CAT C 
70	GEMINI ENGI FAB LIMITED	 CAT D 
71	VIAVI SOLUTIONS INDIA PRIVATE LIMITED	 CAT D 
72	KAIZEN PLASTOMOULD PRIVATE LIMITED	 CAT D 
73	T4 TEXULTANTS PRIVATE LIMITED	 CAT D 
74	CLOCKWORK EVENTS PRIVATE LIMITED	 CAT D 
75	ABIL INFRASTRUCTURE PRIVATE LIMITED	 CAT D 
76	OBEETEE TEXTILES PRIVATE LIMITED	 CAT B 
77	LIVGUARD ENERGY TECHNOLOGIES PVT LTD	 CAT D 
78	EVAM HOSPITALITY PRIVATE LIMITED	 CAT D 
79	PARAMOUNT SHIPPING SERVICES PRIVATE LIMITED	 CAT D 
80	talentrackr technologies pvt ltd	 CAT D 
81	iseo chemdis pvt ltd	 CAT C 
82	RE HAB ARTIFACT PRIVATE LIMITED	 CAT D 
83	HTC INDIA PRIVATE LIMITED	 CAT C 
84	FREIGHT LINES INDIA PVT LTD	 CAT D 
85	CLIMAX OVERSEAS PRIVATE LIMITED	 CAT C 
86	TATA BOEING AEROSPACE LTD	 CAT C 
87	progility technologies pvt ltd	 CAT A 
88	VACMET INDIA LIMITED	 CAT B 
89	BUILDTECH PRODUCTS INDIA PRIVATE LIMITED	 CAT D 
90	JCDECAUX ADVERTISING INDIA PRIVATE LIMITED	 CAT D 
91	OCEAN PEARL HOTELS PRIVATE LIMITED	 CAT C 
92	STARLOG ENTERPRISES LIMITED	 CAT D 
93	VULCAN INDUSTRIAL ENGINEERING COMPANY PRIVATE LIMITED	 CAT C 
94	BARLEY LENTIL VITAMINS PRIVATE LIMITED	 CAT D 
95	ZUARI INSURANCE BROKERS LIMITED	 CAT D 
96	Cryoviva Biotech Pvt Ltd	 CAT D 
97	DUET INDIA HOTELS AHMEDABAD PRIVATE LIMITED	 CAT D 
98	GRT JEWELLERS INDIA PVT LTD	 CAT A 
99	EVERTZ MICROSYSTEMS LIMITED	 CAT C 
100	BEAUTEX INDUSTRIES PRIVATE LIMITED	 CAT D 
101	SWANI MOTORS SERVICES PRIVATE LIMITED	 CAT C 
102	AGARWAL RUBBER LIMITED	 CAT C 
103	FRAMES TWENTYFOUR COMMUNICATIONS PRIVATE LIMITED	 CAT D 
104	CHANNELPLAY LIMITED	 CAT C 
105	EKTHA INDIA PRIVATE LIMITED	 CAT D 
106	KLICKH PRIVATE LIMITED	 CAT D 
107	BISCO BIO SCIENCES PRIVATE LIMITED	 CAT D 
108	METAFLEX DOORS INDIA PRIVATE LIMITED	 CAT D 
109	MITR HEALTHCARE PRIVATE LIMITED	 CAT D 
110	SUNTECK REALTY LIMITED	 CAT B 
111	SURYODAYA TEXTILES PRIVATE LIMITED	 CAT D 
112	LULU CONVENTION AND EXHIBITION CENTER PRIVATE LIMITED	 CAT D 
113	FABSTRACT CLOTHING INDIA PRIVATE LIMITED	 CAT D 
114	EQUATOR PROPERTY MANAGERS PRIVATE LIMITED	 CAT D 
115	SYSNET GLOBAL TECHNOLOGIES PRIVATE LIMITED	 CAT C 
