S NO.	COMPANY NAME	COMPANY CATEGORY
1	3M INDIA LIMITED	ELITE
2	ABB INDIA LIMITED	ELITE
3	ACCENTURE SOLUTIONS PRIVATE LIMITED	ELITE
4	ADANI ENTERPRISES LIMITED (FORMERLY ADANI EXPORTS LIMITED)	ELITE
5	ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED	ELITE
6	ADITYA BIRLA FINANCE LIMITED	ELITE
7	ADITYA BIRLA FINANCIAL SERVICES GROUP	ELITE
8	ADITYA BIRLA GROUP POWER PROJECTS	ELITE
9	ADITYA PHARMACARE PRIVATE LIMITED (formerly ADITYA PHARMA PRIVATE LIMITED)	ELITE
10	AKZO NOBEL INDIA LIMITED	ELITE
11	ALKALOIDA CHEMICAL COMPANY ZRT.	ELITE
12	ALKEM LABORATORIES LIMITED	ELITE
13	ALLAHABAD BANK	ELITE
14	AMARA RAJA BATTERIES LIMITED	ELITE
15	AMAZON DEVELOPMENT CENTRE (INDIA) PRIVATE LIMITED	ELITE
16	AMBUJA CEMENTS LIMITED	ELITE
17	AMDOCS DEVELOPMENT CENTER INDIA LLP	ELITE
18	AMERICAN EXPRESS(INDIA) PRIVATE LIMITED	ELITE
19	ANDHRA BANK	ELITE
20	ANZ OPERATIONS AND TECHNOLOGY PRIVATE LIMITED	ELITE
21	APOLLO HOSPITALS ENTERPRISE LIMITED	ELITE
22	ARVIND LIMITED	ELITE
23	ASEA BROWN BOVERI(PABBL)	ELITE
24	ASHOK LEYLAND LIMITED	ELITE
25	ASIAN PAINTS LIMITED	ELITE
26	ASSOCIATED BUILDING COMPANY	ELITE
27	ASSOCIATED CEMENT COS LIMITED (ACC LIMITED)	ELITE
28	ATOS INDIA PRIVATE LIMITED	ELITE
29	AUROBINDO PHARMA LIMITED	ELITE
30	AXIS BANK LIMITED	ELITE
31	BAJAJ ALLIANZ GENERAL INSURANCE CO.LTD	ELITE
32	Bajaj Allianz Life Insurance Co Ltd	ELITE
33	BAJAJ AUTO LIMITED	ELITE
34	BAJAJ ELECTRICALS LIMITED	ELITE
35	BAJAJ FINANCE LIMITED	ELITE
36	BAJAJ HOLDINGS & INVESTMENT LIMITED	ELITE
37	BALKRISHNA INDUSTRIES LIMITED	ELITE
38	BANK OF BARODA	ELITE
39	BANK OF INDIA	ELITE
40	BASF INDIA LIMITED	ELITE
41	BATA INDIA LIMITED	ELITE
42	BAYER CROPSCIENCE LIMITED	ELITE
43	BEML LIMITED	ELITE
44	BENNETT COLEMAN COMPANY LIMITED	ELITE
45	BERGER PAINTS INDIA LIMITED	ELITE
46	BE-TABS INVESTMENTS (PROPRIETARY) LIMITED.	ELITE
47	BHARAT ALUMINIUM COMPANY LIMITED	ELITE
48	BHARAT ELECTRONICS LIMITED	ELITE
49	BHARAT FORGE LIMITED	ELITE
50	BHARAT HEAVY ELECTRICALS LIMITED	ELITE
51	BHARAT OMAN REFINERIES LIMITED (BORL)	ELITE
52	BHARAT PETROLEUM CORPORATION LIMITED	ELITE
53	BHARAT PETRORESOURCES LIMITED (BPRL)	ELITE
54	BHARTI AIRTEL LIMITED	ELITE
55	BHARTI INFRANET PRIVATE LIMITED	ELITE
56	BHARTI INFRATEL LIMITED	ELITE
57	BIOCON LIMITED	ELITE
58	BLUE DART EXPRESS LIMITED	ELITE
59	BLUE STAR LIMITED	ELITE
60	BNY MELLON INTERNATIONAL OPERATIONS (INDIA) PRIVATE LIMITED	ELITE
61	BNY MELLON TECHNOLOGY PVT LTD	ELITE
62	BOSCH LIMITED	ELITE
63	BRITANNIA INDUSTRIES LIMITED	ELITE
64	BSES RAJDHANI POWER LIMITED	ELITE
65	CADILA HEALTHCARE LIMITED	ELITE
66	CANARA BANK	ELITE
67	CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED	ELITE
