S NO.	COMPANY NAME	COMPANY CATEGORY
1	A A I (AIRPORTS AUTHORITY OF INDIA)	CAT G
2	A P E D A	CAT G
3	ACCOUNTANT GENERAL'S OFFICE	CAT G
4	AGRICULTURAL INSURANCE COMPANY OF INDIA LIMITED	CAT G
5	AHMEDABAD MERCANTILE CO-OP BANK LIMITED	CAT G
6	AHMEDABAD MUNICIPAL CORP	CAT G
7	AIIMS	CAT G
8	AIR (ALL INDIA RADIO)	CAT G
9	AIRFORCE STATION	CAT G
10	AIRPORT AUTHORITY OF INDIA	CAT G
11	ALL INDIA HANDLOOM FABRICS MKTG COOP SOCIETY LIMITED	CAT G
12	ALL INDIA MGMT ASSOCIATION	CAT G
13	AMMUMATION FACTORY	CAT G
14	ANDHRA PRADESH RAYON LIMITED	CAT G
15	ANDHRA PRADESH STATE ELE	CAT G
16	ANDHRA PRADESH STATE FIN	CAT G
17	ANDHRA PRADESH STATE TRA	CAT G
18	ANDHRA PRADESH STEELS LIMITED	CAT G
19	ANDHRA PRADESH TECHNOLOGY SERVICES LIMITED	CAT G
20	ANDHRA VALLEY POWER SUPPLY	CAT G
21	AP ELECTRONIC DEV CORPN	CAT G
22	AP INDUSTRIAL DEV CORPN	CAT G
23	AP STATE AGRO INDUSTRIES	CAT G
24	APPAREL EXPORT PROMOTION COUNCIL	CAT G
25	ARMED FORCES MED COLLEGE	CAT G
26	ARMY HEAD QUARTER CANTEE	CAT G
27	ARMY HOSPITAL	CAT G
28	ASSESSMENT COLLECTION DEPT. C.M.C.(	CAT G
29	ATOMIC ENERGY REGULATORY	CAT G
30	ATOMIC MINERALS	CAT G
31	AUDITOR GENERAL OF INDIA COMPTROLLE	CAT G
32	AUROFOOD LIMITED	CAT G
33	AVIATION RESEARCH CENTER	CAT G
34	B W S S B	CAT G
35	BALRAMPUR HOSPITAL	CAT G
36	BANGALORE CITY CORPN	CAT G
37	BANGALORE STOCK EXCHANGE	CAT G
38	BANK OF MADURA	CAT G
39	BANK OF MAHARASHTRA	CAT G
40	BANK OF RAJASTHAN LIMITED	CAT G
41	BASE HOSPITAL	CAT G
42	BE LIMITED	CAT G
43	BHABHA ATOMIC RESCH CENT	CAT G
44	BHARAT EARTH MOVERS LIMITED	CAT G
45	BHARAT OVERSEAS BANK	CAT G
46	BHARAT SANCHAR NIGAM LIMITED	CAT G
47	BHEL (POWER GROUP)	CAT G
48	BHEL CORPORATE R& D	CAT G
49	BOMBAY MUNICIPAL CORPN	CAT G
50	BOMBAY PORT TRUST	CAT G
51	BRAHMAPUTRA VALLEY FERTILIZER CORPORATION LIMITED	CAT G
52	BRAJASTHAN STATE AGRO	CAT G
53	BUILDING MATERIALS & TECHNOLOGY PROMOTIONS COUNCIL	CAT G
54	BUREAU OF INDIAN STANDARDS	CAT G
55	C I E LIMITED	CAT G
56	C L R I	CAT G
57	C M D A	CAT G
58	C S I R (COUNCIL FOR SCIENTIFIC & I	CAT G
59	C V R D E	CAT G
60	CALCUTTA MUNICIPAL	CAT G
61	CALCUTTA STOCK EXCHANGE	CAT G
62	CALCUTTA TELEPHONES	CAT G
63	CANCER INSTITUTE (WIA)	CAT G
64	CAPEXIL	CAT G
65	C-DOT	CAT G
66	CEMENT CORP OF INDIA LIMITED	CAT G
67	CENTER FOR ELECTRONICS DESIGN & TEC	CAT G
68	CENTRAL BOARD OF SEC EDU	CAT G
69	CENTRAL CHIEF LABOUR COMMISSIONER	CAT G
70	CENTRAL COLLECTOR OF EXCISE & CUSTO	CAT G
71	CENTRAL COTTAGE & INDS	CAT G
72	CENTRAL COUNCIL FOR RES IN INDIAN MED & HOMOEOPATH	CAT G
73	CENTRAL COUNCIL FOR RESEARCH IN AYURVEDA & SIDDHA	CAT G
74	CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE	CAT G
75	CENTRAL COUNCIL FOR RESEARCH IN YOGA & NATUROPATHY	CAT G
76	CENTRAL COUNCIL OF HOMOEOPATHY	CAT G
77	CENTRAL COUNCIL OF RESEARCH IN HOMO	CAT G
78	CENTRAL COUNSIL FOR RESEARCH IN HOMOEOPATHY	CAT G
79	CENTRAL DAIRY	CAT G
80	CENTRAL DRUGS LABORATORY	CAT G
81	CENTRAL ELECTRICITY AUTHORITY	CAT G
82	CENTRAL ELECTRONIC LIMITED	CAT G
83	CENTRAL EXCISE COMMISSION	CAT G
84	CENTRAL FOOD LABORATORY	CAT G
85	CENTRAL FORENSIC SCIENCE LABORATORY	CAT G
86	CENTRAL GOVT HEALTH	CAT G
87	CENTRAL GOVT OFFICES	CAT G
88	CENTRAL GROUND WATER	CAT G
89	CENTRAL INSTITUE FOR ROAD RESEARCH	CAT G
90	CENTRAL INSTITUTE OF FOREIGN LANGUA	CAT G
91	CENTRAL INSTITUTE OF HINDI	CAT G
92	CENTRAL INSTITUTE OF REASEARCH AND	CAT G
93	CENTRAL ORG FOR MODERNISATION OF WORKSHOPS	CAT G
94	CENTRAL POLLUTION CONTRO	CAT G
95	CENTRAL PUBLIC WORK DEPT	CAT G
96	CENTRAL RAILWAY	CAT G
97	CENTRAL ROAD RESCH INST	CAT G
98	CENTRAL SILK BOARD	CAT G
99	CENTRAL SOCIAL WELFARE BOARD	CAT G
100	CENTRAL SOIL AND MATERIALS RESEARCH	CAT G
101	CENTRAL SOIL AND RESEARCH STATION	CAT G
102	CENTRAL STATISTICAL ORGANISATION	CAT G
103	CENTRAL VIGILANCE COMMISSION	CAT G
104	CENTRAL WAREHOUISNG CORP	CAT G
105	CENTRAL WATER & POWER	CAT G
106	CENTRAL WATER COMMISSION	CAT G
107	CENTRE FOR ADVANCED COMPUTATION	CAT G
108	CENTRE FOR DEVL OF ADVANCED COMPUTING(CDAC)	CAT G
109	CENTRE FOR RAILWAY	CAT G
110	CHENNAI TELEPHONES	CAT G
111	CIDCO LIMITED	CAT G
112	CIDCO OF MAHARASHTRA LIMITED	CAT G
113	CNN	CAT G
114	COCHIN PORT TRUST	CAT G
115	COFFEE BOARD	CAT G
116	COMBAT VEHICLES RESEARCH	CAT G
117	COMPTROLLER AUDITOR GENERAL (CAG)	CAT G
118	CONSULTANCY DEVELOPMENT CENTRE-MINISTRY OF SCIENCE	CAT G
119	CONTROLLER OF DEFENCE ACCOUNTS	CAT G
120	CONTROLLERATE OF QUALITY ASSURANCE	CAT G
121	CORPORATION OF CHENNAI	CAT G
122	CORPORATION OF COCHIN	CAT G
123	COTTAGE INDS EXPOSITION	CAT G
124	COUNCIL FOR ADVANCEMENT OF PEOPELS ACTION &RURAL D	CAT G
125	COUNCIL FOR SCIENTIFIC & INDUSTRIAL	CAT G
126	D E S U	CAT G
127	D S I D C	CAT G
128	DAMODAR VALLEY CORPORATION	CAT G
129	DEFENCE INSTITUTE OF	CAT G
130	DEFENCE RESEARCH & DEVELOPMENT ORGANISATION (DRDO)	CAT G
131	DELHI CONTONMENT BOARD	CAT G
132	DELHI COOPERATIVE HOUSING FINANCE CORPORATION LIMITED	CAT G
133	DELHI DEV AUTHORITY	CAT G
134	DELHI ELECTRIC SUPPLY	CAT G
135	DELHI ENERGY DEVELOPMENT AGENCY	CAT G
136	DELHI JAL BOARD	CAT G
137	DELHI STATE CO-OPERATIVE BANK LIMITED	CAT G
138	DELHI STATE IND	CAT G
139	DELHI TOURISIM & TRANSPORTATION DEVELOPMENT	CAT G
140	DELHI TRANSCO LIMITED	CAT G
141	DELHI TRANSPORT CORPN	CAT G
142	DELHI UNIVERSITY	CAT G
143	DEPARTMENT OF ECONOMICS	CAT G
144	DEPARTMENT OF EDUCATIONA	CAT G
145	DEPARTMENT OF ELECTRONIC	CAT G
146	DEPARTMENT OF ENT	CAT G
147	DEPARTMENT OF ENVIRONMEN	CAT G
148	DEPARTMENT OF PER.&TRAIN	CAT G
149	DEPARTMENT OF PHYSICAL	CAT G
150	DEPARTMENT OF POST	CAT G
151	DEPARTMENT OF PSYCHIATRY	CAT G
152	DEPARTMENT OF SCIENCE &	CAT G
153	DEPARTMENT OF SOCIAL	CAT G
154	DEPARTMENT OF SPACE	CAT G
155	DEPARTMENT OF STATISTICS	CAT G
156	DEPARTMENT OF TELECOM	CAT G
157	DEPARTMENT OF TOURISM	CAT G
158	DEPT OF AGRICULTURAL	CAT G
159	DEPT OF ANIMAL HUSBANDRY	CAT G
160	DEPT OF ATOMIC ENERGY	CAT G
161	DEPT OF ELECTRONICS	CAT G
162	DEPT OF MINES & GEOLOGY	CAT G
163	DEPT OF SCIENCE & IND RE	CAT G
164	DEVELOPMENT CORPORATION LIMITED.	CAT G
165	DHARA VEGETABLE OIL AND FOODS COMPANY LIMITED	CAT G
166	DIRECTORATE GENERAL	CAT G
167	DIRECTORATE GENERAL OF HYDROCARBONS	CAT G
168	DIRECTORATE OF ACCOUNTS	CAT G
169	DIRECTORATE OF ADVTG &	CAT G
170	DIRECTORATE OF AGRI	CAT G
171	DIRECTORATE OF ANIMAL	CAT G
172	DIRECTORATE OF AUDIT	CAT G
173	DIRECTORATE OF AVIATION	CAT G
174	DIRECTORATE OF BACKWARD	CAT G
175	DIRECTORATE OF CENSUS	CAT G
176	DIRECTORATE OF CENTRAL	CAT G
177	DIRECTORATE OF CIVIL	CAT G
178	DIRECTORATE OF CLINICS	CAT G
179	DIRECTORATE OF COMMERICA	CAT G
180	DIRECTORATE OF CO-ORDINA	CAT G
181	DIRECTORATE OF DAIRY DEV	CAT G
182	DIRECTORATE OF DEFENCE	CAT G
183	DIRECTORATE OF DRUGS	CAT G
184	DIRECTORATE OF ECONOMICS	CAT G
185	DIRECTORATE OF EDUCATION	CAT G
186	DIRECTORATE OF EMPLOYMEN	CAT G
187	DIRECTORATE OF ENGG. D	CAT G
188	DIRECTORATE OF ESTATES	CAT G
189	DIRECTORATE OF EVALUATIO	CAT G
190	DIRECTORATE OF EXTENSION	CAT G
191	DIRECTORATE OF FAMILY	CAT G
192	DIRECTORATE OF FIELD	CAT G
193	DIRECTORATE OF FINANCIAL	CAT G
194	DIRECTORATE OF FISHERIES	CAT G
195	DIRECTORATE OF FLIGHT	CAT G
196	DIRECTORATE OF FOOD AND	CAT G
197	DIRECTORATE OF GENERAL O	CAT G
198	DIRECTORATE OF GOVERNMEN	CAT G
199	DIRECTORATE OF HANDLOOMS	CAT G
200	DIRECTORATE OF HEALTH	CAT G
201	DIRECTORATE OF HIGHER	CAT G
202	DIRECTORATE OF I & C	CAT G
203	DIRECTORATE OF INCOME TAX	CAT G
204	DIRECTORATE OF INDS	CAT G
205	DIRECTORATE OF LANGUAGES	CAT G
206	DIRECTORATE OF LOCAL FUN	CAT G
207	DIRECTORATE OF LOCAL GOV	CAT G
208	DIRECTORATE OF MARKETING	CAT G
209	DIRECTORATE OF MEDICAL	CAT G
210	DIRECTORATE OF MUNICIPAL	CAT G
211	DIRECTORATE OF NATIONAL	CAT G
212	DIRECTORATE OF NCC	CAT G
213	DIRECTORATE OF OIL	CAT G
214	DIRECTORATE OF P & C	CAT G
215	DIRECTORATE OF PENSION	CAT G
216	DIRECTORATE OF PRINTING	CAT G
217	DIRECTORATE OF PUBLIC	CAT G
218	DIRECTORATE OF PURCHASE	CAT G
219	DIRECTORATE OF REVENUE	CAT G
220	DIRECTORATE OF RURAL	CAT G
221	DIRECTORATE OF SCHOOL ED	CAT G
222	DIRECTORATE OF SEED	CAT G
223	DIRECTORATE OF SIGNALS	CAT G
224	DIRECTORATE OF SMALL	CAT G
225	DIRECTORATE OF SOCIAL	CAT G
226	DIRECTORATE OF SOIL	CAT G
227	DIRECTORATE OF SPORTS	CAT G
228	DIRECTORATE OF STATIONAR	CAT G
229	DIRECTORATE OF SUPPLIES	CAT G
230	DIRECTORATE OF SURVEY AN	CAT G
231	DIRECTORATE OF T & C	CAT G
232	DIRECTORATE OF TECH EDUN	CAT G
233	DIRECTORATE OF TOWN	CAT G
234	DIRECTORATE OF TRAINING	CAT G
235	DIRECTORATE OF TREASURY	CAT G
236	DISCOUNT & FINANCE HOUSE OF INDIA L	CAT G
237	DOORDARSHAN	CAT G
238	DTE	CAT G
239	DTE GENERAL OF E M E	CAT G
240	DTE GENERAL OF HEALTH SE	CAT G
241	DTE GENERAL OF MILIARY	CAT G
242	DTE GENERAL OF SUPPLIES	CAT G
243	DTE OF ANIMAL HUSBANDARY	CAT G
244	DTE OF HORTICULTURE	CAT G
245	DTE OF MEDICAL & RURAL	CAT G
246	DTE OF SOCIAL WELFARE	CAT G
247	E C G C OF INDIA	CAT G
248	E I L	CAT G
249	ELECTION COMMISSION OF INDIA	CAT G
250	ELECTRONICS & COMPUTER SOFTWARE EXPORT COUNCIL	CAT G
251	EMPLOYEE PROVIDENT FUND ORGANISATION	CAT G
252	EMPLOYEE STATE INSURANCE CORP (ESI)	CAT G
253	ENFORCEMENT DIRECTORATE	CAT G
254	ENGINEERING PROJECTS INDIA LIMITE	CAT G
255	EPC FOR HANDICRAFTS	CAT G
256	EXIM BANK OF INDIA	CAT G
257	FAMILY PLANNING	CAT G
258	FEDERATION OF INDIAN EXPORT ORGANISATIONS	CAT G
259	FERTILIZER CORPN I LIMITED	CAT G
260	FILMS DIVISION	CAT G
261	FOOD CORPORATION OF INDIA	CAT G
262	G I C HOUSING FINANCE LIMITED.	CAT G
263	G I D B	CAT G
264	G I I C LIMITED	CAT G
265	GAS TURBINE RESEARCH	CAT G
266	GENERAL INSURANCE	CAT G
267	GEOLOGICAL SURVEY OFINDIA	CAT G
268	GIC BAL FUND	CAT G
269	GIC HOUSING FINANCE LIMITED	CAT G
270	GIC MUTUAL FUND	CAT G
271	GLOBAL TELECOM	CAT G
272	GOI OWNED F.I'S&TIER II BANKS	CAT G
273	GOI OWNED TIER I BANKS	CAT G
274	GOI PUBLIC SECTOR	CAT G
275	GOVT GENERAL HOSPITAL	CAT G
276	GOVT KILPAUK MEDICAL	CAT G
277	GOVT OF INDIA	CAT G
278	GOVT ROYAPETTAH HOSPITAL	CAT G
279	GOVT STANLEY HOSPITAL	CAT G
280	GOVT TOOL ROOM &	CAT G
281	GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY	CAT G
282	GUJARAT AGRO-INDS. CORPN	CAT G
283	GUJARAT COMMN & ELEC LIMITED	CAT G
284	GUJARAT CO-OP MILK MKTG FEDERAT LIMITED	CAT G
285	GUJARAT CREDIT CORPORATION	CAT G
286	GUJARAT ELECTRICITY BOARD	CAT G
287	GUJARAT INSECTICIDES LIMITED.	CAT G
288	GUJARAT LAND DEV CORPN LIMITED	CAT G
289	GUJARAT MERC CR COOP SOC	CAT G
290	GUJARAT SECURITIES LIMITED	CAT G
291	GUJARAT STATE COOP MKTG FEDN	CAT G
292	GUJARAT STATE FINANCIAL	CAT G
293	GUJARAT STATE HANDICRAFTS	CAT G
294	GUJRAT STATE HANDLOOM LIMITED	CAT G
295	GURGAON TECH PARK LIMITED	CAT G
296	H H E C OF INDIA LIMITED	CAT G
297	HANDICRAFTS & HANDLOOM	CAT G
298	HANDICRAFTS CORP OF KERALA	CAT G
299	HARYANA AGRO INDS CORP LIMITED	CAT G
300	HARYANA POWER GENERATION CORPORATION LIMITED	CAT G
