S NO.	COMPANY NAME	COMPANY CATEGORY
1	A g industries pvt ltd	Super CAT A
2	A.T. KEARNEY LIMITED	Super CAT A
3	ABB GLOBAL INDUSTRIES AND SERVICES PRIVATE LIMITED	Super CAT A
4	ABB INDIA LIMITED	Super CAT A
5	ABBOTT INDIA LIMITED	Super CAT A
6	ABBOTT TRUECARE PHARMA PRIVATE LIMITED	Super CAT A
7	ACC LIMITED	Super CAT A
8	ACPL FINVEST PRIVATE LIMITED	Super CAT A
9	ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED	Super CAT A
10	ADANI TRANSMISSION LIMITED	Super CAT A
11	Aditya Birla Fashion and Retail Limited	Super CAT A
12	ADITYA BIRLA FINANCE LIMITED	Super CAT A
13	ADITYA BIRLA HOUSING FINANCE LIMITED	Super CAT A
14	ADOBE SYSTEMS INDIA PRIVATE LIMITED	Super CAT A
15	ADOR WELDING LIMITED	Super CAT A
16	AG INDUSTRIES (BAWAL) PRIVATE LIMITED	Super CAT A
17	AIA ENGINEERING LIMITED	Super CAT A
18	AJAX ENGINEERING PRIVATE LIMITED	Super CAT A
19	ALCATEL-LUCENT INDIA LIMITED	Super CAT A
20	ALD AUTOMOTIVE PRIVATE LIMITED	Super CAT A
21	ALEMBIC PHARMACEUTICALS LIMITED	Super CAT A
22	ALFA LAVAL INDIA LIMITED	Super CAT A
23	ALKEM LABORATORIES LIMITED	Super CAT A
24	ALLANASONS PRIVATE LIMITED	Super CAT A
25	ALLCARGO LOGISTICS PARK PRIVATE LIMITED	Super CAT A
26	AMBA RIVER COKE LIMITED	Super CAT A
27	AMBUJA CEMENTS LIMITED	Super CAT A
28	AMERICAN EXPRESS BANKING CORP.	Super CAT A
29	ANJANI PORTLAND CEMENT LIMITED	Super CAT A
30	APOLLO HOSPITALS ENTERPRISE LIMITED	Super CAT A
31	APOLLO TYRES LIMITED.	Super CAT A
32	APPLE INDIA PRIVATE LIMITED	Super CAT A
33	AQUILAE BUSINESS LOGICS PRIVATE LIMITED	Super CAT A
34	ARVIND LIFESTYLE BRANDS LIMITED	Super CAT A
35	Asian Development bank	Super CAT A
36	ASIAN PAINTS LIMITED	Super CAT A
37	ASTRAZENECA INDIA PRIVATE LIMITED	Super CAT A
38	ASTRAZENECA PHARMA INDIA LIMITED	Super CAT A
39	AT&T GLOBAL BUSINESS SERVICES INDIA PRIVATE LIMITED	Super CAT A
40	ATC TIRES PRIVATE LIMITED	Super CAT A
41	ATLAS COPCO (INDIA) LIMITED	Super CAT A
42	AURIGENE DISCOVERY TECHNOLOGIES LIMITED	Super CAT A
43	AUTOMOBILE CORPORATION OF GOA LIMITED	Super CAT A
44	AUTONATION PRIVATE LIMITED	Super CAT A
45	AVANSE FINANCIAL SERVICES LIMITED	Super CAT A
46	AXA ENTERPRISE LLP	Super CAT A
47	AXIS BANK LIMITED	Super CAT A
48	Axis finance limited	Super CAT A
49	BAE SYSTEMS INDIA (SERVICES) PRIVATE LIMITED	Super CAT A
50	BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED	Super CAT A
51	BAJAJ AUTO LIMITED.	Super CAT A
52	BAJAJ FINANCE LIMITED	Super CAT A
53	BAJAJ HOUSING FINANCE LIMITED	Super CAT A
54	BALMER LAWRIE AND COMPANY LIMITED	Super CAT A
55	BANK OF AMERICA N.A.	Super CAT A
56	bank of baroda	Super CAT A
57	BANK OF NOVA SCOTIA,	Super CAT A
58	BAOSTEEL SINGAPORE PTE LTD	Super CAT A
59	BARCLAYS BANK PLC.	Super CAT A
60	BARCLAYS INVESTMENTS & LOANS (INDIA) LIMITED.	Super CAT A
61	BARCLAYS SHARED SERVICES PRIVATE LIMITED	Super CAT A
62	BARODA PIONEER ASSET MANAGEMENT COMPANY LIMITED	Super CAT A
63	BASF INDIA LIMITED	Super CAT A
64	BATA INDIA LTD	Super CAT A
65	BAYER BIOSCIENCE PRIVATE LIMITED	Super CAT A
66	BAYER CROPSCIENCE LIMITED	Super CAT A
67	BAYER VAPI PRIVATE LIMITED	Super CAT A
68	BAYERISCHE GESELLSCHAFT FUR INTERNATIONAL WIRTSCHAFTSBEZ MBH - BAYERN INTERNATIONAL	Super CAT A
69	BCE CANCO INC	Super CAT A
70	BEML LIMITED	Super CAT A
71	BENNETT COLEMAN AND COMPANY LIMITED	Super CAT A
72	BERGER PAINTS INDIA LIMITED	Super CAT A
73	BERTELSMANN MARKETING SERVICES INDIA PRIVATE LIMITED	Super CAT A
74	BG EXPLORATION AND PRODUCTION INDIA LIMITED	Super CAT A
75	BHARAT ALUMINIUM CO LTD	Super CAT A
76	BHARAT ELECTRONICS LIMITED	Super CAT A
77	BHARAT FORGE LTD	Super CAT A
78	BHARAT PETROLEUM CORPORATION LIMITED	Super CAT A
79	BHARATIYA RESERVE BANK NOTE MUDRAN PRIVATE LIMITED	Super CAT A
80	BHARTI AIRTEL SERVICES LIMITED	Super CAT A
81	BHARTI HEXACOM LIMITED	Super CAT A
82	BHARTI INFRATEL LIMITED	Super CAT A
83	BIOCON LIMITED	Super CAT A
84	BIOLOGICAL E. LIMITED	Super CAT A
85	BIRLA CARBON INDIA PRIVATE LIMITED	Super CAT A
86	BIRLA CORPORATION LIMITED	Super CAT A
87	BLUE DART AVIATION LIMITED	Super CAT A
88	BLUE DART EXPRESS LIMITED	Super CAT A
89	BMW INDIA FINANCIAL SERVICES PRIVATE LIMITED	Super CAT A
90	BMW INDIA PRIVATE LIMITED	Super CAT A
91	BNP PARIBAS	Super CAT A
92	BNP PARIBAS GLOBAL SECURITIES OPERATIONS PRIVATE LIMITED	Super CAT A
93	BNP PARIBAS SECURITIES INDIA PRIVATE LIMITED	Super CAT A
94	BOMBARDIER AEROSPACE INDIA PRIVATE LIMITED	Super CAT A
95	BOUYGUES CONSTRUCTION INDIA BUILDING PROJECTS LLP	Super CAT A
96	BP INDIA SERVICES PRIVATE LIMITED	Super CAT A
97	BRAKES INDIA PRIVATE LIMITED	Super CAT A
98	BRIDGESTONE INDIA PRIVATE LIMITED	Super CAT A
99	BRITANNIA INDUSTRIES LTD	Super CAT A
100	BRITISH AMERICAN TOBACCO CO LTD	Super CAT A
101	BRITISH GAS PLC	Super CAT A
102	BSES RAJDHANI POWER LIMITED	Super CAT A
103	BUSINESS BROADCAST NEWS PRIVATE LIMITED	Super CAT A
104	BUSINESS LOANS	Super CAT A
105	CADILA HEALTHCARE LIMITED	Super CAT A
106	CAIRN INDIA LIMITED	Super CAT A
107	CALDERYS INDIA REFRACTORIES LIMITED	Super CAT A
108	CAN FIN HOMES LIMITED	Super CAT A
109	CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED	Super CAT A
110	CAPITAL FIRST LIMITED	Super CAT A
111	CARBORUNDUM UNIVERSAL LIMITED	Super CAT A
112	CARGILL GLOBAL TRADING INDIA PRIVATE LIMITED	Super CAT A
113	CARGILL INDIA PRIVATE LIMITED	Super CAT A
114	CARREFOUR TRADING ASIA LTD	Super CAT A
115	CATERPILLAR INDIA PRIVATE LIMITED	Super CAT A
116	CENTRICA INDIA OFFSHORE PRIVATE LIMITED	Super CAT A
117	CERA SANITARYWARE LIMITED	Super CAT A
118	CESC LTD	Super CAT A
119	CG POWER AND INDUSTRIAL SOLUTIONS LIMITED	Super CAT A
120	CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED	Super CAT A
121	CHAMBAL FERTILISERS AND CHEMICALS LIMITED	Super CAT A
122	CHENNAI INTERNATIONAL TERMINALS PRIVATE LIMITED	Super CAT A
123	CHENNAI PETROLEUM CORPORATION LIMITED	Super CAT A
124	CHEVRON LUBRICANTS INDIA PRIVATE LIMITED	Super CAT A
125	CHINA MINMETALS CORPORATION	Super CAT A
126	CHINA STATE CONSTRUCTION ENGEERING HONG KONG LTD	Super CAT A
127	CHLORIDE METALS LIMITED	Super CAT A
128	CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED	Super CAT A
129	CIGNA HEALTH SOLUTIONS INDIA PRIVATE LIMITED	Super CAT A
130	CIPLA LIMITED	Super CAT A
131	CISCO SYSTEMS (INDIA) PRIVATE LIMITED	Super CAT A
132	CITI BANK N.A.	Super CAT A
133	CITICORP FINANCE (INDIA) LIMITED	Super CAT A
134	CLARIANT CHEMICALS (INDIA) LIMITED	Super CAT A
135	CLIX CAPITAL SERVICES PRIVATE LIMITED	Super CAT A
136	CLP INDIA PRIVATE LIMITED	Super CAT A
137	CLP WIND FARMS (INDIA) PRIVATE LIMITED	Super CAT A
138	COAL INDIA LTD GOVT OF INDIA UNDERTAKING	Super CAT A
139	COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED	Super CAT A
140	COLGATE-PALMOLIVE (INDIA) LIMITED	Super CAT A
141	COMMERZBANK	Super CAT A
142	COMMONWEALTH BANK OF AUSTRALIA	Super CAT A
143	COMPAQ COMPUTERS ASIA P LTD	Super CAT A
144	COMPUTER SCIENCES CORPORATION INDIA PRIVATE LIMITED	Super CAT A
145	CONTAINER CORPORATION OF INDIA LIMITED	Super CAT A
146	COROMANDEL INTERNATIONAL LIMITED	Super CAT A
147	COVESTRO (INDIA) PRIVATE LIMITED	Super CAT A
148	CREDIT AGRICOLE CIB SERVICES PRIVATE LIMITED	Super CAT A
149	CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK	Super CAT A
150	CREDIT INDUSTRIAL ET COMMERCIAL	Super CAT A
151	CREDIT SUISSE BUSINESS ANALYTICS (INDIA) PRIVATE LIMITED	Super CAT A
152	CREDIT SUISSE FINANCE (INDIA) PRIVATE LIMITED	Super CAT A
153	CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED	Super CAT A
154	CRH INDIA MANAGEMENT SERVICES PRIVATE LIMITED	Super CAT A
155	CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED	Super CAT A
156	CSS CORP PRIVATE LIMITED	Super CAT A
157	CUMMINS GENERATOR TECHNOLOGIES INDIA PRIVATE LIMITED	Super CAT A
158	CUMMINS INDIA LIMITED	Super CAT A
159	D.b. corp limited	Super CAT A
160	dabur india limited	Super CAT A
161	DAIMLER FINANCIAL SERVICES INDIA PRIVATE LIMITED	Super CAT A
162	DAIMLER INDIA COMMERCIAL VEHICLES PRIVATE LIMITED	Super CAT A
163	DBOI GLOBAL SERVICES PRIVATE LIMITED	Super CAT A
164	DBS BANK INDIA LIMITED	Super CAT A
165	DBS BANK LTD	Super CAT A
166	DCM SHRIRAM LIMITED	Super CAT A
167	DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED	Super CAT A
168	DENSO INTERNATIONAL INDIA PRIVATE LIMITED	Super CAT A
169	DIVIS LABORATORIES LIMITED	Super CAT A
170	DOOSAN POWER SYSTEMS INDIA PRIVATE LIMITED	Super CAT A
171	DR REDDYS LABORATORIES LTD	Super CAT A
172	DREDGING CORPORATION OF INDIA LIMITED	Super CAT A
173	EAST INDIA PHARMACEUTICAL WORKS LTD	Super CAT A
174	EAST WEST PIPELINE LIMITED	Super CAT A
175	Economic explosives limited	Super CAT A
176	EDCONS EXPORTS PVT LTD	Super CAT A
177	EDELWEISS FINVEST PRIVATE LIMITED	Super CAT A
