S NO.	COMPANY NAME	COMPANY CATEGORY
1	BAJAJ FINSERV LIMITED	CAT A
2	UNITEDHEALTH GROUP INFORMATION SERVICES PRIVATE LIMITED	CAT A
3	WELLS FARGO INTERNATIONAL SERVICES PRIVATE LIMITED	CAT A
4	TATA ELECTRONICS PRIVATE LIMITED	CAT A
5	3F INDUSTRIES LIMITED	CAT A
6	3M ELECTRO &COMMUNICATION INDIA PRIVATE LIMITED	CAT A
7	3M INDIA LIMITED	CAT A
8	A G INDUSTRIES PRIVATE LIMITED	CAT A
9	A K CAPITAL SERVICES LIMITED	CAT A
10	A T KEARNY INDIA PRIVATE LIMITED	CAT A
11	A2Z ONLINE SERVICES PRIVATE LIMITED	CAT A
12	AARTI DRUGS LIMITED	CAT A
13	AARTI INDUSTRIES LIMITED	CAT A
14	AARVEE ASSOCIATES ARCHITECTS ENGINEERS AND CONSULTANTS PRIVATE LIMITED	CAT A
15	ABB GLOBAL INDUSTRIES AND SERVICES PRIVATE LIMITED	CAT A
16	ABB INDIA LIMITED	CAT A
17	ABBOTT HEALTHCARE PRIVATE LIMITED	CAT A
18	ABBOTT INDIA LIMITED	CAT A
19	ABBOTT TRUECARE PHARMA PRIVATE LIMITED	CAT A
20	ABI-SHOWATECH (INDIA) LIMITED	CAT A
21	ABM TELE MOBILES INDIA PRIVATE LIMITED	CAT A
22	ABP PRIVATE LIMITED	CAT A
23	ACB (INDIA) LIMITED	CAT A
24	ACC LIMITED	CAT A
25	ACCELYA KALE SOLUTIONS LIMITED	CAT A
26	ACCENTURE SERVICES PRIVATE LIMITED	CAT A
27	ACE DESIGNERS LIMITED	CAT A
28	ACE MANUFACTURING SYSTEMS LIMITED	CAT A
29	ACG PHARMAPACK PRIVATE LIMITED	CAT A
30	ACPL FINVEST PRIVATE LIMITED	CAT A
31	ADAMA INDIA PRIVATE LIMITED	CAT A
32	ADANI ENTERPRISES LIMITED	CAT A
33	ADANI GAS LIMITED	CAT A
34	ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED	CAT A
35	ADANI POWER LIMITED	CAT A
36	ADANI POWER RAJASTHAN LIMITED	CAT A
37	ADANI TRANSMISSION LIMITED	CAT A
38	ADCOCK INGRAM LIMITED	CAT A
39	ADDISON & CO. LIMITED	CAT A
40	ADECCO INDIA PRIVATE LIMITED	CAT A
41	ADHUNIK POWER & NATURAL RESOURCES LIMITED	CAT A
42	ADI FINECHEM LIMITED	CAT A
43	ADITYA BIRLA FASHION AND RETAIL LIMITED	CAT A
44	ADITYA BIRLA FINANCE LIMITED	CAT A
45	ADITYA BIRLA FINANCIAL SERVICES	CAT A
46	ADITYA BIRLA HEALTH INSURANCE CO LIMITED	CAT A
47	ADITYA BIRLA HOUSING FINANCE LIMITED	CAT A
48	ADITYA BIRLA MONEY LIMITED	CAT A
49	ADITYA BIRLA MONEY MART LIMITED	CAT A
50	ADITYA BIRLA NUVO LIMITED	CAT A
51	ADITYA MEDISALES LIMITED	CAT A
52	ADOBE SYSTEMS INDIA PRIVATE LIMITED	CAT A
53	ADOR FONTECH LIMITED	CAT A
54	ADOR WELDING LIMITED	CAT A
55	ADP INDIA PRIVATE LIMITED	CAT A
56	ADP PRIVATE LIMITED	CAT A
57	ADVAITH MOTORS PRIVATE LIMITED	CAT A
58	ADVIK HI-TECH PRIVATE LIMITED	CAT A
59	AECOM INDIA PRIVATE LIMITED	CAT A
60	AEGIS ASPIRE CONSULTANCY SERVICES LIMITED	CAT A
61	AEGIS GAS (LPG) PRIVATE LIMITED	CAT A
62	AEGIS LIMITED	CAT A
63	AEGIS LOGISTICS LIMITED	CAT A
64	AEQUS PRIVATE LIMITED	CAT A
65	AEQUS SEZ PRIVATE LIMITED	CAT A
66	AFCONS INFRASTRUCTURE LIMITED	CAT A
67	AG INDUSTRIES (BAWAL) PRIVATE LIMITED	CAT A
68	AGEAS FEDERAL LIFE INSURANCECOMPANY LIMITED	CAT A
69	AGILENT TECHNOLOGIES (INTERNATIONAL) PRIVATE LIMITED	CAT A
