S NO.	COMPANY NAME	COMPANY CATEGORY
1	BIOCON LIMITED	 Super A
2	DAIMLER INDIA COMMERCIAL VEHICLES PRIVATE LIMITED	 Super A
3	EMAMI LIMITED	 Super A
4	GREAVES COTTON LIMITED	 Super A
5	HINDUSTAN AERONAUTICS LIMITED	 Super A
6	IBM INDIA PRIVATE LIMITED	 Super A
7	TATA COFFEE LIMITED	 Super A
8	ABBOTT INDIA LIMITED	 Super A
9	ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED	 Super A
10	ADITYA BIRLA FINANCE LIMITED	 Super A
11	ADITYA BIRLA HOUSING FINANCE LIMITED	 Super A
12	ADOBE SYSTEMS INDIA PRIVATE LIMITED	 Super A
13	ADOR WELDING LIMITED	 Super A
14	AIA ENGINEERING LIMITED	 Super A
15	ALEMBIC PHARMACEUTICALS LIMITED	 Super A
16	ALKEM LABORATORIES LIMITED	 Super A
17	AMBA RIVER COKE LIMITED	 Super A
18	AMBUJA CEMENTS LIMITED	 Super A
19	AMERICAN EXPRESS BANKING CORP	 Super A
20	APPLE INDIA PRIVATE LIMITED	 Super A
21	ASIAN PAINTS LIMITED	 Super A
22	ATC TIRES PRIVATE LIMITED	 Super A
23	AXIS FINANCE LIMITED	 Super A
24	BAJAJ AUTO LIMITED	 Super A
25	BAJAJ FINANCE LIMITED	 Super A
26	BANGALORE INTERNATIONAL AIRPORT LIMITED	 Super A
27	BASF INDIA LIMITED	 Super A
28	BATA INDIA LIMITED	 Super A
29	BAYER VAPI PRIVATE LIMITED	 Super A
30	BERGER PAINTS INDIA LIMITED	 Super A
31	BHARAT ELECTRONICS LIMITED	 Super A
32	BHARAT FORGE LIMITED	 Super A
33	BHARAT PETROLEUM CORPORATION LIMITED	 Super A
34	BLUE DART EXPRESS LIMITED	 Super A
35	BMW INDIA PRIVATE LIMITED	 Super A
36	BNP PARIBAS	 Super A
37	BRITANNIA INDUSTRIES LIMITED	 Super A
38	CAN FIN HOMES LIMITED	 Super A
39	CARBORUNDUM UNIVERSAL LIMITED	 Super A
40	CERA SANITARYWARE LIMITED	 Super A
41	CHENNAI PETROLEUM CORPORATION LIMITED	 Super A
42	CIPLA LIMITED	 Super A
43	CISCO SYSTEMS INDIA PRIVATE LIMITED	 Super A
44	COROMANDEL INTERNATIONAL LIMITED	 Super A
45	COVESTRO INDIA PRIVATE LIMITED	 Super A
46	DABUR INDIA LIMITED	 Super A
47	DCM SHRIRAM LIMITED	 Super A
48	DIVIS LABORATORIES LIMITED	 Super A
49	ELGI EQUIPMENTS LIMITED	 Super A
50	ENGINEERS INDIA LIMITED	 Super A
51	ERICSSON INDIA GLOBAL SERVICES PRIVATE LIMITED	 Super A
52	EXIDE INDUSTRIES LIMITED	 Super A
53	FINOLEX CABLES LIMITED	 Super A
54	FULLERTON INDIA CREDIT COMPANY LIMITED	 Super A
55	GODREJ AGROVET LIMITED	 Super A
56	GODREJ CONSUMER PRODUCTS LIMITED	 Super A
57	GRAPHITE INDIA LIMITED	 Super A
58	GRASIM INDUSTRIES LIMITED	 Super A
59	HAVELLS INDIA LIMITED	 Super A
60	HCL TECHNOLOGIES LIMITED	 Super A
61	HDB FINANCIAL SERVICES LIMITED	 Super A
62	HDFC BANK LIMITED	 Super A
63	HERO CYCLES LIMITED	 Super A
64	HERO FINCORP LIMITED	 Super A
65	HINDUJA GROUP LIMITED	 Super A
66	HINDUSTAN PETROLEUM CORPORATION LIMITED	 Super A
67	HINDUSTAN ZINC LIMITED	 Super A
68	HITACHI INDIA PRIVATE LIMITED	 Super A
69	HP INDIA SALES PRIVATE LIMITED	 Super A
70	HUBERGROUP INDIA PRIVATE LIMITED	 Super A
71	INFOSYS LIMITED	 Super A
72	IPCA LABORATORIES LIMITED	 Super A
73	IRCON INTERNATIONAL LIMITED	 Super A
74	ISGEC HEAVY ENGINEERING LIMITED	 Super A
75	JINDAL SAW LIMITED	 Super A
76	JOHNSON AND JOHNSON PRIVATE LIMITED	 Super A
77	JYOTHY LABS LIMITED	 Super A
78	KAJARIA CERAMICS LIMITED	 Super A
79	KALPATARU POWER TRANSMISSION LIMITED	 Super A
80	KPMG GLOBAL SERVICES PRIVATE LIMITED	 Super A
81	KPMG RESOURCE CENTRE PRIVATE LIMITED	 Super A
82	LAKSHMI MACHINE WORKS LIMITED	 Super A
83	LENOVO INDIA PRIVATE LIMITED	 Super A
84	LUPIN LIMITED	 Super A
85	MAHANAGAR GAS LIMITED	 Super A
86	MAHINDRA LOGISTICS LIMITED	 Super A
87	MAHINDRA VEHICLE MANUFACTURERS LIMITED	 Super A
88	MANAPPURAM FINANCE LIMITED	 Super A
89	MARICO LIMITED	 Super A
90	MARUTI SUZUKI INDIA LIMITED	 Super A
91	MYLAN LABORATORIES LIMITED	 Super A
92	NESTLE INDIA LIMITED	 Super A
93	NIRMA LIMITED	 Super A
94	OIL INDIA LIMITED	 Super A
95	PAGE INDUSTRIES LIMITED	 Super A
96	PARLE BISCUITS PRIVATE LIMITED	 Super A
97	PETRONET LNG LIMITED	 Super A
98	PIDILITE INDUSTRIES LIMITED	 Super A
99	PIEM HOTELS LIMITED	 Super A
100	POWERICA LIMITED	 Super A
101	PRAJ INDUSTRIES LIMITED	 Super A
102	QUESS CORP LIMITED	 Super A
103	RAILTEL CORPORATION OF INDIA LIMITED	 Super A
104	RALLIS INDIA LIMITED	 Super A
